X,CH1,
Second,Volt,
-6.1999998e+00,6.40000e-03,
-6.1992674e+00,6.20000e-03,
-6.1985350e+00,6.20000e-03,
-6.1978025e+00,6.40000e-03,
-6.1970701e+00,6.40000e-03,
-6.1963377e+00,6.20000e-03,
-6.1956053e+00,6.20000e-03,
-6.1948729e+00,6.40000e-03,
-6.1941404e+00,6.40000e-03,
-6.1934080e+00,6.20000e-03,
-6.1926756e+00,6.20000e-03,
-6.1919432e+00,6.40000e-03,
-6.1912107e+00,6.40000e-03,
-6.1904783e+00,6.20000e-03,
-6.1897459e+00,6.20000e-03,
-6.1890135e+00,6.40000e-03,
-6.1882811e+00,6.40000e-03,
-6.1875486e+00,6.20000e-03,
-6.1868162e+00,6.20000e-03,
-6.1860838e+00,6.40000e-03,
-6.1853514e+00,6.40000e-03,
-6.1846189e+00,6.20000e-03,
-6.1838865e+00,6.20000e-03,
-6.1831541e+00,6.40000e-03,
-6.1824217e+00,6.40000e-03,
-6.1816893e+00,6.20000e-03,
-6.1809568e+00,6.20000e-03,
-6.1802244e+00,6.40000e-03,
-6.1794920e+00,6.40000e-03,
-6.1787596e+00,6.20000e-03,
-6.1780272e+00,6.20000e-03,
-6.1772947e+00,6.40000e-03,
-6.1765623e+00,6.40000e-03,
-6.1758299e+00,6.20000e-03,
-6.1750975e+00,6.20000e-03,
-6.1743650e+00,6.40000e-03,
-6.1736326e+00,6.40000e-03,
-6.1729002e+00,6.20000e-03,
-6.1721678e+00,6.20000e-03,
-6.1714354e+00,6.40000e-03,
-6.1707029e+00,6.40000e-03,
-6.1699705e+00,6.60000e-03,
-6.1692381e+00,6.60000e-03,
-6.1685057e+00,6.40000e-03,
-6.1677732e+00,6.20000e-03,
-6.1670408e+00,6.60000e-03,
-6.1663084e+00,6.60000e-03,
-6.1655760e+00,6.20000e-03,
-6.1648436e+00,6.40000e-03,
-6.1641111e+00,6.20000e-03,
-6.1633787e+00,6.20000e-03,
-6.1626463e+00,6.40000e-03,
-6.1619139e+00,6.40000e-03,
-6.1611814e+00,6.20000e-03,
-6.1604490e+00,6.60000e-03,
-6.1597166e+00,6.20000e-03,
-6.1589842e+00,6.20000e-03,
-6.1582518e+00,6.60000e-03,
-6.1575193e+00,6.40000e-03,
-6.1567869e+00,6.60000e-03,
-6.1560545e+00,6.60000e-03,
-6.1553221e+00,6.60000e-03,
-6.1545897e+00,6.20000e-03,
-6.1538572e+00,6.20000e-03,
-6.1531248e+00,6.60000e-03,
-6.1523924e+00,6.60000e-03,
-6.1516600e+00,6.60000e-03,
-6.1509275e+00,6.60000e-03,
-6.1501951e+00,6.20000e-03,
-6.1494627e+00,6.60000e-03,
-6.1487303e+00,6.40000e-03,
-6.1479979e+00,6.60000e-03,
-6.1472654e+00,6.40000e-03,
-6.1465330e+00,6.60000e-03,
-6.1458006e+00,6.40000e-03,
-6.1450682e+00,6.60000e-03,
-6.1443357e+00,6.40000e-03,
-6.1436033e+00,6.60000e-03,
-6.1428709e+00,6.40000e-03,
-6.1421385e+00,6.40000e-03,
-6.1414061e+00,6.60000e-03,
-6.1406736e+00,6.20000e-03,
-6.1399412e+00,6.60000e-03,
-6.1392088e+00,6.40000e-03,
-6.1384764e+00,6.60000e-03,
-6.1377439e+00,6.40000e-03,
-6.1370115e+00,6.20000e-03,
-6.1362791e+00,6.60000e-03,
-6.1355467e+00,6.20000e-03,
-6.1348143e+00,6.20000e-03,
-6.1340818e+00,6.60000e-03,
-6.1333494e+00,6.40000e-03,
-6.1326170e+00,6.60000e-03,
-6.1318846e+00,6.60000e-03,
-6.1311522e+00,6.40000e-03,
-6.1304197e+00,6.60000e-03,
-6.1296873e+00,6.60000e-03,
-6.1289549e+00,6.60000e-03,
-6.1282225e+00,6.60000e-03,
-6.1274900e+00,6.60000e-03,
-6.1267576e+00,6.60000e-03,
-6.1260252e+00,6.40000e-03,
-6.1252928e+00,6.60000e-03,
-6.1245604e+00,6.20000e-03,
-6.1238279e+00,6.40000e-03,
-6.1230955e+00,6.60000e-03,
-6.1223631e+00,6.40000e-03,
-6.1216307e+00,6.60000e-03,
-6.1208982e+00,6.60000e-03,
-6.1201658e+00,6.60000e-03,
-6.1194334e+00,6.40000e-03,
-6.1187010e+00,6.60000e-03,
-6.1179686e+00,6.60000e-03,
-6.1172361e+00,6.60000e-03,
-6.1165037e+00,6.60000e-03,
-6.1157713e+00,6.60000e-03,
-6.1150389e+00,6.60000e-03,
-6.1143064e+00,6.60000e-03,
-6.1135740e+00,6.40000e-03,
-6.1128416e+00,6.60000e-03,
-6.1121092e+00,6.40000e-03,
-6.1113768e+00,6.60000e-03,
-6.1106443e+00,6.40000e-03,
-6.1099119e+00,6.60000e-03,
-6.1091795e+00,6.60000e-03,
-6.1084471e+00,6.60000e-03,
-6.1077147e+00,6.60000e-03,
-6.1069822e+00,6.60000e-03,
-6.1062498e+00,6.60000e-03,
-6.1055174e+00,6.60000e-03,
-6.1047850e+00,6.60000e-03,
-6.1040525e+00,6.60000e-03,
-6.1033201e+00,6.60000e-03,
-6.1025877e+00,6.60000e-03,
-6.1018553e+00,6.60000e-03,
-6.1011229e+00,6.60000e-03,
-6.1003904e+00,6.60000e-03,
-6.0996580e+00,6.40000e-03,
-6.0989256e+00,6.60000e-03,
-6.0981932e+00,6.60000e-03,
-6.0974607e+00,6.60000e-03,
-6.0967283e+00,6.60000e-03,
-6.0959959e+00,6.40000e-03,
-6.0952635e+00,6.60000e-03,
-6.0945311e+00,6.60000e-03,
-6.0937986e+00,6.80000e-03,
-6.0930662e+00,6.60000e-03,
-6.0923338e+00,6.60000e-03,
-6.0916014e+00,6.60000e-03,
-6.0908689e+00,6.60000e-03,
-6.0901365e+00,6.60000e-03,
-6.0894041e+00,6.60000e-03,
-6.0886717e+00,6.60000e-03,
-6.0879393e+00,6.60000e-03,
-6.0872068e+00,6.60000e-03,
-6.0864744e+00,6.60000e-03,
-6.0857420e+00,6.60000e-03,
-6.0850096e+00,6.60000e-03,
-6.0842772e+00,6.60000e-03,
-6.0835447e+00,6.60000e-03,
-6.0828123e+00,6.60000e-03,
-6.0820799e+00,6.60000e-03,
-6.0813475e+00,6.60000e-03,
-6.0806150e+00,6.40000e-03,
-6.0798826e+00,6.60000e-03,
-6.0791502e+00,6.60000e-03,
-6.0784178e+00,6.60000e-03,
-6.0776854e+00,6.60000e-03,
-6.0769529e+00,6.60000e-03,
-6.0762205e+00,6.60000e-03,
-6.0754881e+00,6.60000e-03,
