,wl [10^-6m],omega [10^9Hz],Energy [eV],Brechungsindex Luft,Brechungsindex Gold,Brechungsindex Al2O3,Brechungsindex BK7,dielectric constant air,dielectric constant Gold
0,0.46100433,4.08597369857427,2.68977950814475,(1+0j),(1.4469296544628398+1.92483439673268j),(1.7781564701547823+0j),(1.5243477795939733+0j),(1+0j),(1.3883364893050727+0.6932160940667019j)
1,0.4616293,4.080441963516729,2.6861379899412796,(1+0j),(1.4417258717563999+1.9225063809828j),(1.7780871819702062+0j),(1.5242947290328686+0j),(1+0j),(1.3865003611162683+0.6932945835783968j)
2,0.46225427,4.074925186324083,2.682506318438118,(1+0j),(1.43652208904996+1.92017836523292j),(1.7780181761032123+0j),(1.524241899132199+0j),(1+0j),(1.3846623731638135+0.6933742125329465j)
3,0.46287921,4.069423570155275,2.6788846273739537,(1+0j),(1.43131855613708+1.9178504612331602j),(1.777949454187166+0j),(1.5241892910905253+0j),(1+0j),(1.3828226099906635+0.693454983805229j)
4,0.46350415,4.063936789581827,2.6752727025205707,(1+0j),(1.4261150232242+1.9155225572334j),(1.777881011256382+0j),(1.5241369010551242+0j),(1+0j),(1.380980979595261+0.6935369080154902j)
5,0.46412912,4.058464522348551,2.6716703317387194,(1+0j),(1.42091124051776+1.91319454148352j),(1.777812842410811+0j),(1.5240847252249956+0j),(1+0j),(1.37913738961752+0.6936199960520654j)
6,0.46475405999999997,4.053007234210828,2.6680778216332315,(1+0j),(1.4157077076048803+1.9108666374837602j),(1.7777449525724494+0j),(1.5240327673173568+0j),(1+0j),(1.3772920132320814+0.693704246857405j)
7,0.46537903,4.047564341927597,2.664494788258938,(1+0j),(1.4105039248984397+1.90853862173388j),(1.7776773336124685+0j),(1.5239810210614673+0j),(1+0j),(1.3754446694474693+0.6937896754874772j)
8,0.46600397,4.042136309072331,2.6609215367843326,(1+0j),(1.40530039198556+1.90621071773412j),(1.7776099904236713+0j),(1.5239294901525773+0j),(1+0j),(1.3735955317997148+0.6938762807551365j)
9,0.46662891,4.036722815371326,2.6573578563745652,(1+0j),(1.40009685907268+1.90388281373436j),(1.7775429181664006+0j),(1.5238781708385445+0j),(1+0j),(1.3717445078406536+0.6939640737951186j)
10,0.46725388,4.031323543656509,2.6538035382392113,(1+0j),(1.3948930763662397+1.90155479798448j),(1.7774761120645648+0j),(1.5238270594172767+0j),(1+0j),(1.3698915047609235+0.6940530660186639j)
11,0.46787881,4.025939040301597,2.6502589420538194,(1+0j),(1.38968962671788+1.89922693123476j),(1.777409578030076+0j),(1.5237761603641429+0j),(1+0j),(1.3680367263378648+0.6941432545889513j)
12,0.46850375000000005,4.020568815743424,2.6467237455409904,(1+0j),(1.3844860938049994+1.8968990272349997j),(1.7773433091674158+0j),(1.5237254683566264+0j),(1+0j),(1.3661800204960917+0.6942346538438586j)
13,0.46912869,4.015212898850534,2.6431979677047677,(1+0j),(1.3792825608921198+1.89457112323524j),(1.7772773050017094+0j),(1.5236749829849605+0j),(1+0j),(1.3643214130890167+0.6943272696078496j)
14,0.46975363,4.00987123252002,2.639681570954545,(1+0j),(1.3740790279792399+1.8922432192354801j),(1.777211564002419+0j),(1.523624703032313+0j),(1+0j),(1.3624609003073112+0.6944211091887751j)
15,0.47037857000000005,4.004543759952442,2.6361745178994864,(1+0j),(1.367327811563839+1.8898909686418797j),(1.7771460846500449+0j),(1.5235746272908492+0j),(1+0j),(1.3601436500074287+0.6947394742575749j)
16,0.47100351,3.9992304246498143,2.632676771347203,(1+0j),(1.3595693764451195+1.8875228735008398j),(1.7770808654360322+0j),(1.5235247545616528+0j),(1+0j),(1.3575275068323642+0.6952061243698698j)
17,0.47162845,3.9939311704136022,2.6291882943024323,(1+0j),(1.3518109413264+1.8851547783598j),(1.7770159048626721+0j),(1.5234750836546425+0j),(1+0j),(1.3549082255342255+0.6956761878157851j)
18,0.47225339000000005,3.988645941342746,2.6257090499657396,(1+0j),(1.3440525062076791+1.8827866832187596j),(1.77695120144301+0j),(1.5234256133884956+0j),(1+0j),(1.352285803915179+0.6961496888334028j)
19,0.47287833,3.9833746818316946,2.6222390017322215,(1+0j),(1.3362940710889595+1.8804185880777198j),(1.7768867537007493+0j),(1.5233763425905673+0j),(1+0j),(1.3496602398916504+0.696626651841162j)
20,0.47350327,3.9781173365684537,2.6187781131902215,(1+0j),(1.32853563597024+1.87805049293668j),(1.7768225601701617+0j),(1.5233272700968132+0j),(1+0j),(1.3470315314967902+0.6971071014387591j)
21,0.4741282,3.972873934325892,2.6153264032808003,(1+0j),(1.3207773249983996+1.8756824356888j),(1.776758620417128+0j),(1.523278395532223+0j),(1+0j),(1.3443997190218875+0.6975910546356872j)
22,0.47475313999999996,3.9676442525664037,2.611883725508377,(1+0j),(1.3130188898796802+1.8733143405477601j),(1.7766949309504951+0j),(1.5232297161855775+0j),(1+0j),(1.3417647165137123+0.698078551884702j)
23,0.47537808000000004,3.962428320861687,2.6084500993398767,(1+0j),(1.3052604547609592+1.8709462454067198j),(1.7766314913608556+0j),(1.523181231701832+0j),(1+0j),(1.3391265644593637+0.6985696106185691j)
24,0.47600299,3.957226334458221,2.605025653305245,(1+0j),(1.2975023920828794+1.8685782639451598j),(1.776568303251363+0j),(1.5231329432641296+0j),(1+0j),(1.3364853882547874+0.6990642323389675j)
25,0.47662793,3.952037740022607,2.6016100231474057,(1+0j),(1.28974395696416+1.86621016880412j),(1.7765053591408864+0j),(1.5230848451139793+0j),(1+0j),(1.3338409329658643+0.699562490054382j)
26,0.47725287,3.9468627340236906,2.5982033382009835,(1+0j),(1.2819855218454397+1.8638420736630799j),(1.7764426606646182+0j),(1.5230369384601727+0j),(1+0j),(1.3311933240993299+0.7000643858111796j)
27,0.47787778,3.9417015106014204,2.594805726267499,(1+0j),(1.27422745916736+1.86147409220152j),(1.7763802094205277+0j),(1.5229892244828085+0j),(1+0j),(1.3285426879026072+0.7005699211442956j)
28,0.47850272000000005,3.9365535211771694,2.5914168262199215,(1+0j),(1.2664690240486391+1.8591059970604797j),(1.7763179980280628+0j),(1.522941697502787+0j),(1+0j),(1.3258887689387997+0.7010791706714774j)
29,0.47912762,3.931419289309294,2.588036982714543,(1+0j),(1.25871108551744+1.85673805349208j),(1.776256032075272+0j),(1.5228943617492372+0j),(1+0j),(1.3232318637528113+0.7015921035283244j)
30,0.47975256000000005,3.926298105233358,2.5846657285163834,(1+0j),(1.2509526503987192+1.8543699583510398j),(1.7761943022643556+0j),(1.522847210080131+0j),(1+0j),(1.3205716315516827+0.7021088118378477j)
31,0.48037747000000003,3.921190490696521,2.581303407089429,(1+0j),(1.2415069933347591+1.85315325095273j),(1.7761328141602721+0j),(1.5228002467072292+0j),(1+0j),(1.3175912861469823+0.7032352408658855j)
32,0.48100238,3.9160961476091933,2.5779498222025428,(1+0j),(1.2309550805290395+1.85269122936842j),(1.7760715634483177+0j),(1.5227534682960913+0j),(1+0j),(1.3144012129388636+0.704766250643514j)
33,0.48162732,3.9110147806998423,2.574604779479702,(1+0j),(1.2204026611585592+1.85222918560388j),(1.7760105458688176+0j),(1.5227068715554561+0j),(1+0j),(1.3112094667505345+0.706305602793622j)
34,0.48225223,3.905946826433241,2.5712685662438513,(1+0j),(1.2098507483528396+1.8517671640195699j),(1.775949765953136+0j),(1.5226604599077904+0j),(1+0j),(1.3080163955744157+0.7078531929281995j)
35,0.48287714,3.900891989438252,2.5679409880534,(1+0j),(1.19929883554712+1.85130514243526j),(1.7758892194489417+0j),(1.5226142300681484+0j),(1+0j),(1.304821888492395+0.7094091380449931j)
36,0.48350204,3.895850299429663,2.5646220644694693,(1+0j),(1.1887470915963192+1.85084312824436j),(1.775828906011207+0j),(1.5225681817357595+0j),(1+0j),(1.3016260396374661+0.7109734562316623j)
37,0.48412695000000006,3.890821544449969,2.561311655961313,(1+0j),(1.1781951787905987+1.85038110666005j),(1.7757688224103878+0j),(1.522522312408029+0j),(1+0j),(1.2984287904272713+0.7125462406186899j)
38,0.48475186000000003,3.8858057549461558,2.5580097825720562,(1+0j),(1.167643265984879+1.8499190850757399j),(1.7757089683233334+0j),(1.5224766218017973+0j),(1+0j),(1.2952302364209967+0.7141275091706744j)
39,0.48537677,3.880802880840081,2.554716411335466,(1+0j),(1.1570913531791596+1.84945706349143j),(1.7756493424688409+0j),(1.522431108902837+0j),(1+0j),(1.292030422778925+0.7157173046721225j)
40,0.48600168000000005,3.875812872311168,2.551431509454864,(1+0j),(1.1465394403734388+1.84899504190712j),(1.775589943574604+0j),(1.5223857727041246+0j),(1+0j),(1.2888293953981569+0.7173156697500338j)
41,0.48662659,3.870835679794754,2.5481550443020384,(1+0j),(1.1359875275677194+1.84853302032281j),(1.7755307703771372+0j),(1.5223406122057797+0j),(1+0j),(1.2856272009174499+0.7189226468620371j)
42,0.4872515,3.865871253980446,2.544886983416162,(1+0j),(1.1254356147619997+1.8480709987385j),(1.775471821621702+0j),(1.5222956264150012+0j),(1+0j),(1.2824238867218969+0.7205382782842955j)
43,0.4878764,3.8609196249477393,2.5416273465984416,(1+0j),(1.1148838708111999+1.8476089845476j),(1.7754130970001982+0j),(1.5222508150617187+0j),(1+0j),(1.2792195522333165+0.7221625800363842j)
44,0.48850128000000004,3.855980822217811,2.5383761532825457,(1+0j),(1.104332464570239+1.84714698514352j),(1.7753545961989592+0j),(1.522206177871795+0j),(1+0j),(1.2760142976926065+0.7237955673708681j)
45,0.48912619,3.851054402359549,2.535133111559616,(1+0j),(1.0937805517645194+1.84668496355921j),(1.7752963133134694+0j),(1.5221617103058351+0j),(1+0j),(1.2728079162538521+0.7254374128165394j)
46,0.4897511,3.846140554475229,2.5318983459148945,(1+0j),(1.0832286389587997+1.8462229419749001j),(1.7752382499371457+0j),(1.5221174135458888+0j),(1+0j),(1.2696006121884773+0.7270880796097241j)
47,0.49037598000000004,3.8412394654992137,2.528671979406495,(1+0j),(1.071817767553303+1.8480009979486003j),(1.77518040762964+0j),(1.5220732887479873+0j),(1+0j),(1.2665201600403522+0.7295584611498492j)
48,0.49100089,3.836350617019967,2.5254536707662587,(1+0j),(1.0598373522315714+1.8512621345273002j),(1.7751227796332976+0j),(1.5220293307237922+0j),(1+0j),(1.2635288424880442+0.732576128172087j)
49,0.49162576,3.8314745087988333,2.5222437489850003,(1+0j),(1.0478577037668473+1.8545230623632j),(1.7750653712028053+0j),(1.5219855434484666+0j),(1+0j),(1.260544044137062+0.7356042301690306j)
50,0.49225067,3.826610469232786,2.519041771949239,(1+0j),(1.0358772884451157+1.8577841989419j),(1.7750081738010697+0j),(1.5219419203778148+0j),(1+0j),(1.257565486532534+0.738643123891838j)
51,0.49287555,3.821758996381243,2.51584806752942,(1+0j),(1.0238974482661398+1.8610451789635j),(1.7749511926611687+0j),(1.5218984654706789+0j),(1+0j),(1.254593607071882+0.7416924366875367j)
52,0.49350043,3.816919809591358,2.5126624509729405,(1+0j),(1.0119176080871641+1.8643061589851j),(1.7748944238610629+0j),(1.5218551757037209+0j),(1+0j),(1.2516283660932808+0.7447522801053863j)
53,0.49412531000000004,3.8120928622515877,2.5094848915956156,(1+0j),(0.9999377679081871+1.8675671390067001j),(1.7748378662377047+0j),(1.5218120501582535+0j),(1+0j),(1.2486698669411729+0.747822618472255j)
54,0.49475018,3.807278184939424,2.5063154095264806,(1+0j),(0.9879581194434641+1.8708280668425998j),(1.7747815195360164+0j),(1.521769088608201+0j),(1+0j),(1.2457182599674967+0.7509033651362762j)
55,0.49537506000000003,3.802475577411695,2.5031538729462883,(1+0j),(0.9759782792644872+1.8740890468642002j),(1.7747253808052519+0j),(1.5217262887725493+0j),(1+0j),(1.2427735536660849+0.7539945798394985j)
56,0.49599994,3.7976850709071726,2.5000003024193918,(1+0j),(0.9639984390855124+1.8773500268857999j),(1.7746694498093105+0j),(1.5216836504404372+0j),(1+0j),(1.2398358980553617+0.7570961729009285j)
57,0.49662482,3.792906619747384,2.496854667875842,(1+0j),(0.9520185989065355+1.8806110069074j),(1.7746137254163974+0j),(1.5216411727183963+0j),(1+0j),(1.2369053955914764+0.7602081022567251j)
58,0.49724969,3.788140254665324,2.493716989547042,(1+0j),(0.9400389504418115+1.8838719347433002j),(1.774558207389205+0j),(1.5215988553950754+0j),(1+0j),(1.2339821951477519+0.7633302741931918j)
59,0.49787457,3.783385777885489,2.4905871372382005,(1+0j),(0.9280591102628356+1.8871329147649j),(1.7745028928342503+0j),(1.5215566962348746+0j),(1+0j),(1.2310663049730903+0.7664627433719545j)
60,0.49849945,3.778643220787612,2.487465131606464,(1+0j),(0.9160792700838598+1.8903938947865j),(1.7744477815326238+0j),(1.5215146950411804+0j),(1+0j),(1.228157873346189+0.7696054130386387j)
61,0.4991243,3.7739127654350897,2.4843510925034105,(1+0j),(0.9041000050476395+1.893654718251j),(1.7743928750140796+0j),(1.5214728529500496+0j),(1+0j),(1.225257140385304+0.7727580831136827j)
62,0.49974918,3.7691939130522494,2.481244691587088,(1+0j),(0.8921201648686637+1.8969156982726j),(1.7743381669122198+0j),(1.52143116508059+0j),(1+0j),(1.2223639281411038+0.7759210062576508j)
63,0.50037405,3.764486921951394,2.47814609890341,(1+0j),(0.8808138857025397+1.9026519229303j),(1.7742836596519307+0j),(1.5213896332516734+0j),(1+0j),(1.2201348725456922+0.7796891826231483j)
64,0.5009989,3.759791822514686,2.47505533445283,(1+0j),(0.8699594831345195+1.9100477262614002j),(1.7742293530116997+0j),(1.521348257265509+0j),(1+0j),(1.2183585900296932+0.7838610659833939j)
65,0.50162375,3.7551084200236797,2.4719722700530027,(1+0j),(0.8591050805664994+1.9174435295925003j),(1.7741752441715979+0j),(1.5213070349449247+0j),(1+0j),(1.2165961170630264+0.7880361866604437j)
66,0.50224863,3.7504364468029574,2.4688967294943147,(1+0j),(0.8482501568620845+1.9248396880073797j),(1.7741213294829568+0j),(1.5212659634821426+0j),(1+0j),(1.2148473769133292+0.7922146125458126j)
67,0.50287347,3.7457763824940953,2.465829028522821,(1+0j),(0.8373959280061952+1.9322353729772204j),(1.7740676139227833+0j),(1.5212250466404695+0j),(1+0j),(1.2131125699802041+0.7963957429806993j)
68,0.5034983199999999,3.741127810136195,2.4627688926548954,(1+0j),(0.826541525438177+1.9396311763083192j),(1.7740140921278245+0j),(1.521184280306543+0j),(1+0j),(1.211391559240517+0.8005797801349932j)
