GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.74  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.153331E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.112225E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 1.116665E-5 1.116665E-12 1.116665E+2 1.000000E-2 1.000000E+0
2.000000E-7 2.112334E-5 4.224668E-12 1.056167E+2 1.000000E-2 1.000000E+0
3.000000E-7 3.117052E-5 9.351156E-12 1.039017E+2 1.000000E-2 1.000000E+0
4.000000E-7 4.113626E-5 1.645450E-11 1.028407E+2 1.000000E-2 1.000000E+0
5.000000E-7 5.114776E-5 2.557388E-11 1.022955E+2 1.000000E-2 1.000000E+0
6.000000E-7 6.110704E-5 3.666422E-11 1.018451E+2 1.000000E-2 1.000000E+0
7.000000E-7 7.112423E-5 4.978696E-11 1.016060E+2 1.000000E-2 1.000000E+0
8.000000E-7 8.111686E-5 6.489349E-11 1.013961E+2 1.000000E-2 1.000000E+0
9.000000E-7 9.114697E-5 8.203228E-11 1.012744E+2 1.000000E-2 1.000000E+0
1.000000E-6 1.011068E-4 1.011068E-10 1.011068E+2 1.000000E-2 1.000000E+0
1.100000E-6 1.111170E-4 1.222287E-10 1.010154E+2 1.000000E-2 1.000000E+0
1.200000E-6 1.210941E-4 1.453129E-10 1.009117E+2 1.000000E-2 1.000000E+0
1.300000E-6 1.311133E-4 1.704473E-10 1.008564E+2 1.000000E-2 1.000000E+0
1.400000E-6 1.410721E-4 1.975009E-10 1.007658E+2 1.000000E-2 1.000000E+0
1.500000E-6 1.511030E-4 2.266545E-10 1.007353E+2 1.000000E-2 1.000000E+0
1.600000E-6 1.610656E-4 2.577050E-10 1.006660E+2 1.000000E-2 1.000000E+0
1.700000E-6 1.710976E-4 2.908658E-10 1.006456E+2 1.000000E-2 1.000000E+0
1.800000E-6 1.810522E-4 3.258939E-10 1.005845E+2 1.000000E-2 1.000000E+0
1.900000E-6 1.910931E-4 3.630770E-10 1.005753E+2 1.000000E-2 1.000000E+0
