GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.52  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.746412E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.740724E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 2.474188E-6 2.474188E-13 2.474188E+1 1.000000E-2 1.000000E+0
2.000000E-7 3.215924E-6 6.431849E-13 1.607962E+1 1.000000E-2 1.000000E+0
3.000000E-7 3.938271E-6 1.181481E-12 1.312757E+1 1.000000E-2 1.000000E+0
4.000000E-7 4.677939E-6 1.871176E-12 1.169485E+1 1.000000E-2 1.000000E+0
5.000000E-7 5.412437E-6 2.706219E-12 1.082487E+1 1.000000E-2 1.000000E+0
6.000000E-7 6.149003E-6 3.689402E-12 1.024834E+1 1.000000E-2 1.000000E+0
7.000000E-7 6.886086E-6 4.820260E-12 9.837266E+0 1.000000E-2 1.000000E+0
8.000000E-7 7.612052E-6 6.089642E-12 9.515065E+0 1.000000E-2 1.000000E+0
9.000000E-7 8.338018E-6 7.504216E-12 9.264465E+0 1.000000E-2 1.000000E+0
1.000000E-6 9.078721E-6 9.078721E-12 9.078721E+0 1.000000E-2 1.000000E+0
1.100000E-6 9.797706E-6 1.077748E-11 8.907006E+0 1.000000E-2 1.000000E+0
1.200000E-6 1.052445E-5 1.262934E-11 8.770373E+0 1.000000E-2 1.000000E+0
1.300000E-6 1.126076E-5 1.463898E-11 8.662120E+0 1.000000E-2 1.000000E+0
1.400000E-6 1.200740E-5 1.681037E-11 8.576717E+0 1.000000E-2 1.000000E+0
1.500000E-6 1.271553E-5 1.907330E-11 8.477021E+0 1.000000E-2 1.000000E+0
1.600000E-6 1.345158E-5 2.152253E-11 8.407238E+0 1.000000E-2 1.000000E+0
1.700000E-6 1.417910E-5 2.410447E-11 8.340646E+0 1.000000E-2 1.000000E+0
1.800000E-6 1.492885E-5 2.687193E-11 8.293805E+0 1.000000E-2 1.000000E+0
1.900000E-6 1.564680E-5 2.972892E-11 8.235158E+0 1.000000E-2 1.000000E+0
