,pe-1-4-0,pe-1-2-2,pe-1-1-3,pe-1-3-1,pe-1-0-4,Time,AF
0,3,15,20,2,12,0.0,3
1,7,16,13,10,11,0.024437927663734114,8
2,9,16,15,10,11,0.04887585532746823,5
3,5,10,12,9,15,0.07331378299120234,9
4,7,22,16,11,20,0.09775171065493646,5
5,9,5,18,5,19,0.12218963831867058,8
6,7,12,8,17,15,0.14662756598240467,5
7,3,13,12,4,18,0.1710654936461388,6
8,5,10,18,10,7,0.19550342130987292,10
9,5,14,13,16,19,0.21994134897360704,5
10,7,14,22,8,19,0.24437927663734116,11
11,7,14,12,11,21,0.26881720430107525,9
12,2,4,16,10,18,0.29325513196480935,7
13,10,15,15,14,21,0.3176930596285435,8
14,5,16,18,7,15,0.3421309872922776,3
15,7,9,17,8,19,0.36656891495601174,8
16,6,16,8,7,27,0.39100684261974583,8
17,3,12,20,7,12,0.4154447702834799,10
18,11,14,21,5,11,0.4398826979472141,12
19,6,15,10,17,26,0.46432062561094817,11
20,3,18,15,5,17,0.4887585532746823,6
21,8,12,11,12,17,0.5131964809384164,5
22,6,12,20,6,20,0.5376344086021505,10
23,9,13,15,11,15,0.5620723362658846,9
24,5,24,21,8,19,0.5865102639296187,9
25,12,12,12,11,28,0.6109481915933529,9
26,10,12,21,9,21,0.635386119257087,10
27,12,16,11,12,28,0.6598240469208211,8
28,4,12,22,7,19,0.6842619745845552,8
29,14,14,18,5,15,0.7086999022482893,8
30,5,11,11,9,21,0.7331378299120235,5
31,9,14,11,8,26,0.7575757575757576,13
32,1,14,9,8,18,0.7820136852394917,6
33,14,12,10,8,14,0.8064516129032258,12
34,6,14,21,9,17,0.8308895405669598,12
35,8,20,11,8,13,0.855327468230694,9
36,3,9,14,15,25,0.8797653958944281,6
37,13,13,11,12,17,0.9042033235581622,14
38,5,14,17,10,17,0.9286412512218963,4
39,14,12,7,12,22,0.9530791788856304,7
40,8,10,18,1,29,0.9775171065493646,6
41,5,16,16,14,20,1.0019550342130987,15
42,6,18,13,15,16,1.0263929618768328,4
43,9,17,14,6,22,1.050830889540567,7
44,8,10,17,8,15,1.075268817204301,8
45,11,10,20,11,15,1.099706744868035,12
46,8,11,19,12,19,1.1241446725317692,8
47,8,11,24,13,14,1.1485826001955033,11
48,11,17,7,12,20,1.1730205278592374,13
49,12,14,19,6,24,1.1974584555229717,5
50,4,12,13,10,25,1.2218963831867058,8
51,17,19,13,10,20,1.2463343108504399,13
52,5,17,20,15,23,1.270772238514174,9
53,2,12,15,13,16,1.295210166177908,10
54,7,16,15,9,19,1.3196480938416422,11
55,6,14,14,12,19,1.3440860215053763,10
56,8,19,17,7,20,1.3685239491691104,5
57,12,11,21,13,19,1.3929618768328444,13
58,7,18,17,16,19,1.4173998044965785,9
59,8,21,12,11,13,1.4418377321603129,6
60,13,20,23,7,20,1.466275659824047,8
61,3,10,12,9,21,1.490713587487781,12
62,10,23,17,9,19,1.5151515151515151,12
63,4,12,14,8,14,1.5395894428152492,13
64,10,12,8,15,26,1.5640273704789833,5
65,9,15,10,5,12,1.5884652981427174,7
66,11,14,16,9,18,1.6129032258064515,7
67,5,18,9,10,17,1.6373411534701856,8
68,5,11,13,11,14,1.6617790811339197,8
69,6,14,15,12,15,1.6862170087976538,11
70,5,13,14,12,23,1.710654936461388,4
71,8,11,14,11,14,1.7350928641251222,18
72,4,15,15,10,12,1.7595307917888563,9
73,5,12,9,3,15,1.7839687194525904,12
74,2,9,6,12,11,1.8084066471163245,14
75,10,10,8,4,17,1.8328445747800586,20
76,10,9,10,13,14,1.8572825024437927,11
77,13,17,17,10,17,1.8817204301075268,13
78,13,15,14,12,16,1.9061583577712609,23
79,16,15,15,10,19,1.930596285434995,18
80,8,18,18,20,11,1.9550342130987293,22
81,21,24,24,10,15,1.9794721407624634,24
82,16,12,17,19,19,2.0039100684261975,26
83,18,21,19,20,15,2.0283479960899315,35
84,23,19,22,23,20,2.0527859237536656,36
85,20,19,29,13,11,2.0772238514173997,44
86,26,27,22,23,12,2.101661779081134,50
87,34,23,25,36,11,2.126099706744868,62
88,27,21,31,39,14,2.150537634408602,87
89,42,35,35,29,20,2.174975562072336,104
90,61,27,34,37,15,2.19941348973607,119
91,98,36,48,53,12,2.2238514173998043,155
92,104,64,78,83,19,2.2482893450635384,228
93,182,95,94,103,14,2.2727272727272725,309
94,215,131,127,149,26,2.2971652003910066,513
95,349,181,189,230,25,2.3216031280547407,813
96,561,294,317,377,26,2.3460410557184748,1204
97,860,426,499,535,28,2.3704789833822093,1925
98,1340,662,657,797,42,2.3949169110459434,2965
99,1824,987,922,1139,49,2.4193548387096775,4141
100,2356,1191,1180,1472,74,2.4437927663734116,5450
101,2850,1503,1414,1838,98,2.4682306940371457,6599
102,3268,1690,1652,2067,138,2.4926686217008798,7492
103,3570,1749,1693,2162,169,2.517106549364614,8111
104,3298,1761,1723,2078,172,2.541544477028348,7857
105,3100,1557,1727,1887,214,2.565982404692082,7149
106,2611,1338,1346,1609,259,2.590420332355816,6014
107,2096,1130,1219,1313,219,2.6148582600195502,5043
108,1585,875,952,1028,292,2.6392961876832843,3909
109,1212,743,781,710,320,2.6637341153470184,2936
110,832,544,642,600,247,2.6881720430107525,2264
111,597,458,504,416,285,2.7126099706744866,1651
112,448,396,444,310,263,2.7370478983382207,1324
113,306,375,389,281,296,2.761485826001955,895
114,244,313,344,202,258,2.785923753665689,714
115,180,289,292,192,239,2.810361681329423,556
116,145,307,276,188,268,2.834799608993157,449
117,122,263,291,159,266,2.859237536656891,327
118,100,254,274,151,261,2.8836754643206257,308
119,85,254,242,149,261,2.90811339198436,240
120,96,268,240,137,262,2.932551319648094,238
121,73,265,230,121,237,2.956989247311828,190
122,64,227,224,122,263,2.981427174975562,150
123,78,245,249,123,238,3.005865102639296,129
124,61,236,227,127,269,3.0303030303030303,122
125,61,237,234,115,247,3.0547409579667644,108
126,64,202,238,121,250,3.0791788856304985,118
127,62,210,217,103,221,3.1036168132942326,82
128,46,220,201,98,201,3.1280547409579667,92
129,51,220,216,108,208,3.1524926686217007,73
130,45,196,215,100,211,3.176930596285435,77
