,50,47,45,53,49,52,46,51,48,Time,AF
0,108,22,17,47,75,9,18,118,48,0.0,3
1,111,27,11,37,88,12,18,120,52,0.024437927663734114,8
2,97,29,11,42,88,9,16,116,45,0.04887585532746823,5
3,113,42,10,45,70,9,18,129,61,0.07331378299120234,9
4,107,40,13,31,77,3,22,108,47,0.09775171065493646,5
5,102,41,14,49,87,12,13,106,49,0.12218963831867058,8
6,103,33,16,30,81,21,13,113,46,0.14662756598240467,5
7,120,30,13,29,54,12,19,114,47,0.1710654936461388,6
8,98,33,14,25,80,10,13,131,61,0.19550342130987292,10
9,100,29,9,45,78,13,13,127,58,0.21994134897360704,5
10,114,30,12,43,77,17,18,112,63,0.24437927663734116,11
11,113,36,11,45,78,14,21,154,40,0.26881720430107525,9
12,118,42,16,46,60,9,17,127,47,0.29325513196480935,7
13,108,27,11,47,78,8,22,141,51,0.3176930596285435,8
14,123,34,8,41,92,14,21,99,57,0.3421309872922776,3
15,96,36,7,40,78,14,14,137,53,0.36656891495601174,8
16,115,30,13,34,72,13,18,119,60,0.39100684261974583,8
17,117,29,13,28,63,11,23,121,45,0.4154447702834799,10
18,92,36,10,36,97,13,22,133,62,0.4398826979472141,12
19,99,37,20,28,70,11,20,131,57,0.46432062561094817,11
20,105,33,21,33,84,12,11,139,51,0.4887585532746823,6
21,106,44,7,38,64,13,22,132,51,0.5131964809384164,5
22,111,34,15,31,90,19,27,145,54,0.5376344086021505,10
23,107,35,19,45,85,11,15,130,59,0.5620723362658846,9
24,101,41,14,28,85,11,15,109,55,0.5865102639296187,9
25,111,33,18,39,83,13,15,136,53,0.6109481915933529,9
26,124,26,14,49,99,13,15,133,53,0.635386119257087,10
27,123,28,10,29,77,17,13,118,50,0.6598240469208211,8
28,122,34,16,35,90,13,15,114,65,0.6842619745845552,8
29,117,32,14,37,92,15,12,129,51,0.7086999022482893,8
30,118,34,12,31,89,18,15,127,56,0.7331378299120235,5
31,123,35,11,49,96,13,14,102,61,0.7575757575757576,13
32,120,38,13,41,86,26,23,139,48,0.7820136852394917,6
33,135,34,19,37,65,20,24,138,41,0.8064516129032258,12
34,105,41,10,27,91,8,18,126,58,0.8308895405669598,12
35,108,42,9,50,101,8,17,147,54,0.855327468230694,9
36,113,26,7,47,99,16,16,131,65,0.8797653958944281,6
37,117,38,11,43,78,9,16,132,50,0.9042033235581622,14
38,135,27,11,41,74,14,17,130,47,0.9286412512218963,4
39,135,38,16,38,67,19,15,135,56,0.9530791788856304,7
40,121,35,15,58,92,9,13,136,68,0.9775171065493646,6
41,122,32,27,50,87,20,21,157,59,1.0019550342130987,15
42,109,40,13,41,91,14,19,102,61,1.0263929618768328,4
43,121,34,15,43,77,13,20,141,58,1.050830889540567,7
44,106,32,13,40,77,13,23,122,45,1.075268817204301,8
