pe-3-2,pe-1-2,pe-1-1,52,pe-1-4,Time
14,12,12,9,12,0.0
17,14,14,12,11,0.024437927663734114
11,17,12,9,11,0.04887585532746823
8,12,16,9,15,0.07331378299120234
8,19,12,3,20,0.09775171065493646
13,13,10,12,19,0.12218963831867058
13,15,9,21,15,0.14662756598240467
7,14,20,12,18,0.1710654936461388
14,10,12,10,7,0.19550342130987292
21,16,12,13,19,0.21994134897360704
12,15,13,17,19,0.24437927663734116
12,20,17,14,21,0.26881720430107525
22,24,17,9,18,0.29325513196480935
10,20,12,8,21,0.3176930596285435
16,19,13,14,15,0.3421309872922776
15,23,8,14,19,0.36656891495601174
11,19,15,13,27,0.39100684261974583
9,17,10,11,12,0.4154447702834799
12,19,9,13,11,0.4398826979472141
12,13,14,11,26,0.46432062561094817
8,17,8,12,17,0.4887585532746823
13,19,17,13,17,0.5131964809384164
11,18,17,19,20,0.5376344086021505
7,14,16,11,15,0.5620723362658846
12,16,11,11,19,0.5865102639296187
9,16,9,13,28,0.6109481915933529
10,15,18,13,21,0.635386119257087
12,16,13,17,28,0.6598240469208211
12,17,22,13,19,0.6842619745845552
18,23,9,15,15,0.7086999022482893
13,20,12,18,21,0.7331378299120235
11,17,6,13,26,0.7575757575757576
7,13,12,26,18,0.7820136852394917
14,15,11,20,14,0.8064516129032258
12,16,17,8,17,0.8308895405669598
11,25,23,8,13,0.855327468230694
17,19,13,16,25,0.8797653958944281
9,13,14,9,17,0.9042033235581622
12,19,16,14,17,0.9286412512218963
11,12,16,19,22,0.9530791788856304
13,21,14,9,29,0.9775171065493646
15,6,13,20,20,1.0019550342130987
19,25,12,14,16,1.0263929618768328
14,17,12,13,22,1.050830889540567
14,18,13,13,15,1.075268817204301
17,17,13,18,15,1.099706744868035
13,13,11,12,19,1.1241446725317692
19,18,15,10,14,1.1485826001955033
12,19,12,22,20,1.1730205278592374
13,22,12,14,24,1.1974584555229717
9,22,23,13,25,1.2218963831867058
12,24,12,15,20,1.2463343108504399
17,13,11,18,23,1.270772238514174
12,23,17,18,16,1.295210166177908
15,28,16,10,19,1.3196480938416422
14,25,21,11,19,1.3440860215053763
11,18,12,7,20,1.3685239491691104
11,5,28,19,19,1.3929618768328444
14,18,18,27,19,1.4173998044965785
8,12,14,11,13,1.4418377321603129
17,18,15,14,20,1.466275659824047
9,21,15,19,21,1.490713587487781
20,22,7,13,19,1.5151515151515151
15,16,15,16,14,1.5395894428152492
11,11,16,11,26,1.5640273704789833
8,12,13,6,12,1.5884652981427174
8,18,15,9,18,1.6129032258064515
11,9,14,5,17,1.6373411534701856
5,21,10,16,14,1.6617790811339197
8,25,13,13,15,1.6862170087976538
7,21,16,6,23,1.710654936461388
12,17,10,9,14,1.7350928641251222
12,18,9,12,12,1.7595307917888563
10,13,12,16,15,1.7839687194525904
5,14,17,11,11,1.8084066471163245
9,18,11,12,17,1.8328445747800586
10,12,17,11,14,1.8572825024437927
11,10,10,15,17,1.8817204301075268
8,19,15,7,16,1.9061583577712609
7,12,14,11,19,1.930596285434995
13,20,9,11,11,1.9550342130987293
9,13,18,10,15,1.9794721407624634
6,15,7,13,19,2.0039100684261975
12,12,16,10,15,2.0283479960899315
8,11,14,11,20,2.0527859237536656
7,7,9,8,11,2.0772238514173997
9,9,17,5,12,2.101661779081134
12,15,15,13,11,2.126099706744868
9,14,16,8,14,2.150537634408602
6,12,12,5,20,2.174975562072336
13,16,17,9,15,2.19941348973607
12,17,14,10,12,2.2238514173998043
9,21,17,8,19,2.2482893450635384
14,23,12,5,14,2.2727272727272725
16,14,22,13,26,2.2971652003910066
9,17,20,14,25,2.3216031280547407
16,24,16,23,26,2.3460410557184748
22,29,24,27,28,2.3704789833822093
23,43,41,22,42,2.3949169110459434
32,61,37,50,49,2.4193548387096775
41,66,60,52,74,2.4437927663734116
49,82,63,57,98,2.4682306940371457
69,130,99,79,138,2.4926686217008798
72,146,86,103,169,2.517106549364614
81,171,131,109,172,2.541544477028348
94,178,143,142,214,2.565982404692082
128,217,183,175,259,2.590420332355816
116,202,173,174,219,2.6148582600195502
113,261,166,161,292,2.6392961876832843
136,215,176,203,320,2.6637341153470184
129,235,181,166,247,2.6881720430107525
109,219,151,166,285,2.7126099706744866
114,223,171,165,263,2.7370478983382207
127,250,189,146,296,2.761485826001955
125,211,159,158,258,2.785923753665689
111,224,170,164,239,2.810361681329423
136,225,187,155,268,2.834799608993157
105,218,171,158,266,2.859237536656891
124,188,171,156,261,2.8836754643206257
122,173,161,153,261,2.90811339198436
130,212,176,155,262,2.932551319648094
129,226,159,160,237,2.956989247311828
106,193,155,134,263,2.981427174975562
126,192,128,150,238,3.005865102639296
