,pe-1-0-4_0Grad,1-4-0_mit triton,Time,AF
0,12,14,0.0,3
1,11,11,0.024437927663734114,8
2,11,15,0.04887585532746823,5
3,15,18,0.07331378299120234,9
4,20,18,0.09775171065493646,5
5,19,13,0.12218963831867058,8
6,15,23,0.14662756598240467,5
7,18,12,0.1710654936461388,6
8,7,17,0.19550342130987292,10
9,19,19,0.21994134897360704,5
10,19,12,0.24437927663734116,11
11,21,14,0.26881720430107525,9
12,18,18,0.29325513196480935,7
13,21,16,0.3176930596285435,8
14,15,17,0.3421309872922776,3
15,19,19,0.36656891495601174,8
16,27,13,0.39100684261974583,8
17,12,18,0.4154447702834799,10
18,11,21,0.4398826979472141,12
19,26,19,0.46432062561094817,11
20,17,17,0.4887585532746823,6
21,17,21,0.5131964809384164,5
22,20,7,0.5376344086021505,10
23,15,18,0.5620723362658846,9
24,19,15,0.5865102639296187,9
25,28,18,0.6109481915933529,9
26,21,9,0.635386119257087,10
27,28,14,0.6598240469208211,8
28,19,24,0.6842619745845552,8
29,15,11,0.7086999022482893,8
30,21,20,0.7331378299120235,5
31,26,18,0.7575757575757576,13
32,18,22,0.7820136852394917,6
33,14,20,0.8064516129032258,12
34,17,13,0.8308895405669598,12
35,13,19,0.855327468230694,9
36,25,23,0.8797653958944281,6
37,17,11,0.9042033235581622,14
38,17,12,0.9286412512218963,4
39,22,18,0.9530791788856304,7
40,29,16,0.9775171065493646,6
41,20,12,1.0019550342130987,15
42,16,15,1.0263929618768328,4
43,22,18,1.050830889540567,7
44,15,12,1.075268817204301,8
45,15,19,1.099706744868035,12
46,19,13,1.1241446725317692,8
47,14,15,1.1485826001955033,11
48,20,13,1.1730205278592374,13
49,24,22,1.1974584555229717,5
50,25,21,1.2218963831867058,8
51,20,16,1.2463343108504399,13
52,23,14,1.270772238514174,9
53,16,14,1.295210166177908,10
54,19,22,1.3196480938416422,11
55,19,18,1.3440860215053763,10
56,20,17,1.3685239491691104,5
57,19,13,1.3929618768328444,13
58,19,26,1.4173998044965785,9
59,13,18,1.4418377321603129,6
60,20,21,1.466275659824047,8
61,21,12,1.490713587487781,12
62,19,23,1.5151515151515151,12
63,14,23,1.5395894428152492,13
64,26,19,1.5640273704789833,5
65,12,16,1.5884652981427174,7
66,18,13,1.6129032258064515,7
67,17,13,1.6373411534701856,8
68,14,17,1.6617790811339197,8
69,15,13,1.6862170087976538,11
70,23,12,1.710654936461388,4
71,14,7,1.7350928641251222,18
72,12,19,1.7595307917888563,9
73,15,10,1.7839687194525904,12
74,11,14,1.8084066471163245,14
75,17,13,1.8328445747800586,20
76,14,17,1.8572825024437927,11
77,17,9,1.8817204301075268,13
78,16,13,1.9061583577712609,23
79,19,14,1.930596285434995,18
80,11,15,1.9550342130987293,22
81,15,19,1.9794721407624634,24
82,19,23,2.0039100684261975,26
83,15,20,2.0283479960899315,35
84,20,17,2.0527859237536656,36
85,11,17,2.0772238514173997,44
86,12,29,2.101661779081134,50
87,11,26,2.126099706744868,62
88,14,18,2.150537634408602,87
89,20,33,2.174975562072336,104
90,15,33,2.19941348973607,119
91,12,39,2.2238514173998043,155
92,19,44,2.2482893450635384,228
93,14,76,2.2727272727272725,309
94,26,90,2.2971652003910066,513
95,25,134,2.3216031280547407,813
96,26,236,2.3460410557184748,1204
97,28,362,2.3704789833822093,1925
98,42,513,2.3949169110459434,2965
99,49,746,2.4193548387096775,4141
100,74,888,2.4437927663734116,5450
101,98,1110,2.4682306940371457,6599
102,138,1222,2.4926686217008798,7492
103,169,1391,2.517106549364614,8111
104,172,1317,2.541544477028348,7857
105,214,1121,2.565982404692082,7149
106,259,1090,2.590420332355816,6014
107,219,874,2.6148582600195502,5043
108,292,725,2.6392961876832843,3909
109,320,613,2.6637341153470184,2936
110,247,485,2.6881720430107525,2264
111,285,393,2.7126099706744866,1651
112,263,324,2.7370478983382207,1324
113,296,310,2.761485826001955,895
114,258,282,2.785923753665689,714
115,239,256,2.810361681329423,556
116,268,270,2.834799608993157,449
117,266,240,2.859237536656891,327
118,261,214,2.8836754643206257,308
119,261,230,2.90811339198436,240
120,262,236,2.932551319648094,238
121,237,198,2.956989247311828,190
122,263,242,2.981427174975562,150
123,238,248,3.005865102639296,129
124,269,230,3.0303030303030303,122
125,247,206,3.0547409579667644,108
126,250,178,3.0791788856304985,118
127,221,215,3.1036168132942326,82
128,201,236,3.1280547409579667,92
129,208,207,3.1524926686217007,73
130,211,187,3.176930596285435,77
131,199,192,3.201368523949169,90
132,214,227,3.225806451612903,71
133,220,194,3.250244379276637,71
134,245,212,3.274682306940371,64
135,200,206,3.2991202346041053,62
136,211,219,3.3235581622678394,68
137,194,215,3.3479960899315735,84
138,192,196,3.3724340175953076,91
139,183,191,3.396871945259042,87
140,202,200,3.421309872922776,81
141,227,205,3.4457478005865103,105
142,194,195,3.4701857282502444,109
143,192,202,3.4946236559139785,90
144,172,191,3.5190615835777126,124
145,196,196,3.5434995112414467,109
146,192,191,3.567937438905181,127
147,184,212,3.592375366568915,130
148,191,220,3.616813294232649,126
149,201,193,3.641251221896383,112
150,203,189,3.665689149560117,104
151,178,202,3.6901270772238512,108
152,205,172,3.7145650048875853,100
153,222,143,3.7390029325513194,91
154,186,179,3.7634408602150535,74
