Time	M1	M2
0	26.9	26.9
60	26.4	27.0
120	26.3	27.1
180	26.4	27.1
240	26.4	27.1
300	26.4	27.2
310	27.2	27.8
320	27.9	28.3
330	28.6	29.1
340	29.2	29.7
350	29.8	30.4
360	30.5	31.1
370	31.2	31.7
380	31.7	32.4
390	32.3	33.0
400	33.0	33.6
410	33.7	34.2
420	34.2	34.8
430	34.9	35.4
440	35.5	36.1
450	36.2	36.8
460	36.6	37.4
470	37.3	38.0
480	38.0	38.5
490	38.5	39.2
500	39.2	39.8
510	39.8	40.4
520	40.4	41.0
530	41.0	41.6
540	41.6	42.2
550	42.1	42.8
560	42.8	43.5
570	43.3	44.0
580	44.0	44.6
590	44.6	45.2
600	45.2	45.8
660	44.9	45.4
720	44.6	45.2
780	44.4	45.0
840	44.2	44.8
900	44.1	44.7
960	43.9	44.5
